Animal,Sire,Dam
10001,1,32
10002,1,32
10003,1,32
10004,1,32
10005,1,32
10006,1,32
10007,1,32
10008,1,32
10009,1,32
10010,1,32
10011,1,32
10012,1,32
10013,1,32
10014,1,32
10015,1,32
10016,1,32
10017,1,32
10018,1,32
10019,1,32
10020,1,32
10021,3,2
10022,3,2
10023,3,2
10024,3,2
10025,3,2
10026,3,2
10027,3,2
10028,3,2
10029,3,2
10030,3,2
10031,3,2
10032,3,2
10033,3,2
10034,3,2
10035,3,2
10036,3,2
10037,3,2
10038,3,2
10039,3,2
10040,3,2
10041,5,64
10042,5,64
10043,5,64
10044,5,64
10045,5,64
10046,5,64
10047,5,64
10048,5,64
10049,5,64
10050,5,64
10051,5,64
10052,5,64
10053,5,64
10054,5,64
10055,5,64
10056,5,64
10057,5,64
10058,5,64
10059,5,64
10060,5,64
10061,7,18
10062,7,18
10063,7,18
10064,7,18
10065,7,18
10066,7,18
10067,7,18
10068,7,18
10069,7,18
10070,7,18
10071,7,18
10072,7,18
10073,7,18
10074,7,18
10075,7,18
10076,7,18
10077,7,18
10078,7,18
10079,7,18
10080,7,18
10081,9,38
10082,9,38
10083,9,38
10084,9,38
10085,9,38
10086,9,38
10087,9,38
10088,9,38
10089,9,38
10090,9,38
10091,9,38
10092,9,38
10093,9,38
10094,9,38
10095,9,38
10096,9,38
10097,9,38
10098,9,38
10099,9,38
10100,9,38
10101,11,80
10102,11,80
10103,11,80
10104,11,80
10105,11,80
10106,11,80
10107,11,80
10108,11,80
10109,11,80
10110,11,80
10111,11,80
10112,11,80
10113,11,80
10114,11,80
10115,11,80
10116,11,80
10117,11,80
10118,11,80
10119,11,80
10120,11,80
10121,13,62
10122,13,62
10123,13,62
10124,13,62
10125,13,62
10126,13,62
10127,13,62
10128,13,62
10129,13,62
10130,13,62
10131,13,62
10132,13,62
10133,13,62
10134,13,62
10135,13,62
10136,13,62
10137,13,62
10138,13,62
10139,13,62
10140,13,62
10141,15,24
10142,15,24
10143,15,24
10144,15,24
10145,15,24
10146,15,24
10147,15,24
10148,15,24
10149,15,24
10150,15,24
10151,15,24
10152,15,24
10153,15,24
10154,15,24
10155,15,24
10156,15,24
10157,15,24
10158,15,24
10159,15,24
10160,15,24
10161,17,94
10162,17,94
10163,17,94
10164,17,94
10165,17,94
10166,17,94
10167,17,94
10168,17,94
10169,17,94
10170,17,94
10171,17,94
10172,17,94
10173,17,94
10174,17,94
10175,17,94
10176,17,94
10177,17,94
10178,17,94
10179,17,94
10180,17,94
10181,19,6
10182,19,6
10183,19,6
10184,19,6
10185,19,6
10186,19,6
10187,19,6
10188,19,6
10189,19,6
10190,19,6
10191,19,6
10192,19,6
10193,19,6
10194,19,6
10195,19,6
10196,19,6
10197,19,6
10198,19,6
10199,19,6
10200,19,6
10201,21,42
10202,21,42
10203,21,42
10204,21,42
10205,21,42
10206,21,42
10207,21,42
10208,21,42
10209,21,42
10210,21,42
10211,21,42
10212,21,42
10213,21,42
10214,21,42
10215,21,42
10216,21,42
10217,21,42
10218,21,42
10219,21,42
10220,21,42
10221,23,30
10222,23,30
10223,23,30
10224,23,30
10225,23,30
10226,23,30
10227,23,30
10228,23,30
10229,23,30
10230,23,30
10231,23,30
10232,23,30
10233,23,30
10234,23,30
10235,23,30
10236,23,30
10237,23,30
10238,23,30
10239,23,30
10240,23,30
10241,25,88
10242,25,88
10243,25,88
10244,25,88
10245,25,88
10246,25,88
10247,25,88
10248,25,88
10249,25,88
10250,25,88
10251,25,88
10252,25,88
10253,25,88
10254,25,88
10255,25,88
10256,25,88
10257,25,88
10258,25,88
10259,25,88
10260,25,88
10261,27,8
10262,27,8
10263,27,8
10264,27,8
10265,27,8
10266,27,8
10267,27,8
10268,27,8
10269,27,8
10270,27,8
10271,27,8
10272,27,8
10273,27,8
10274,27,8
10275,27,8
10276,27,8
10277,27,8
10278,27,8
10279,27,8
10280,27,8
10281,29,48
10282,29,48
10283,29,48
10284,29,48
10285,29,48
10286,29,48
10287,29,48
10288,29,48
10289,29,48
10290,29,48
10291,29,48
10292,29,48
10293,29,48
10294,29,48
10295,29,48
10296,29,48
10297,29,48
10298,29,48
10299,29,48
10300,29,48
10301,31,50
10302,31,50
10303,31,50
10304,31,50
10305,31,50
10306,31,50
10307,31,50
10308,31,50
10309,31,50
10310,31,50
10311,31,50
10312,31,50
10313,31,50
10314,31,50
10315,31,50
10316,31,50
10317,31,50
10318,31,50
10319,31,50
10320,31,50
10321,33,58
10322,33,58
10323,33,58
10324,33,58
10325,33,58
10326,33,58
10327,33,58
10328,33,58
10329,33,58
10330,33,58
10331,33,58
10332,33,58
10333,33,58
10334,33,58
10335,33,58
10336,33,58
10337,33,58
10338,33,58
10339,33,58
10340,33,58
10341,35,70
10342,35,70
10343,35,70
10344,35,70
10345,35,70
10346,35,70
10347,35,70
10348,35,70
10349,35,70
10350,35,70
10351,35,70
10352,35,70
10353,35,70
10354,35,70
10355,35,70
10356,35,70
10357,35,70
10358,35,70
10359,35,70
10360,35,70
10361,37,74
10362,37,74
10363,37,74
10364,37,74
10365,37,74
10366,37,74
10367,37,74
10368,37,74
10369,37,74
10370,37,74
10371,37,74
10372,37,74
10373,37,74
10374,37,74
10375,37,74
10376,37,74
10377,37,74
10378,37,74
10379,37,74
10380,37,74
10381,39,26
10382,39,26
10383,39,26
10384,39,26
10385,39,26
10386,39,26
10387,39,26
10388,39,26
10389,39,26
10390,39,26
10391,39,26
10392,39,26
10393,39,26
10394,39,26
10395,39,26
10396,39,26
10397,39,26
10398,39,26
10399,39,26
10400,39,26
10401,41,90
10402,41,90
10403,41,90
10404,41,90
10405,41,90
10406,41,90
10407,41,90
10408,41,90
10409,41,90
10410,41,90
10411,41,90
10412,41,90
10413,41,90
10414,41,90
10415,41,90
10416,41,90
10417,41,90
10418,41,90
10419,41,90
10420,41,90
10421,43,84
10422,43,84
10423,43,84
10424,43,84
10425,43,84
10426,43,84
10427,43,84
10428,43,84
10429,43,84
10430,43,84
10431,43,84
10432,43,84
10433,43,84
10434,43,84
10435,43,84
10436,43,84
10437,43,84
10438,43,84
10439,43,84
10440,43,84
10441,45,98
10442,45,98
10443,45,98
10444,45,98
10445,45,98
10446,45,98
10447,45,98
10448,45,98
10449,45,98
10450,45,98
10451,45,98
10452,45,98
10453,45,98
10454,45,98
10455,45,98
10456,45,98
10457,45,98
10458,45,98
10459,45,98
10460,45,98
10461,47,44
10462,47,44
10463,47,44
10464,47,44
10465,47,44
10466,47,44
10467,47,44
10468,47,44
10469,47,44
10470,47,44
10471,47,44
10472,47,44
10473,47,44
10474,47,44
10475,47,44
10476,47,44
10477,47,44
10478,47,44
10479,47,44
10480,47,44
10481,49,22
10482,49,22
10483,49,22
10484,49,22
10485,49,22
10486,49,22
10487,49,22
10488,49,22
10489,49,22
10490,49,22
10491,49,22
10492,49,22
10493,49,22
10494,49,22
10495,49,22
10496,49,22
10497,49,22
10498,49,22
10499,49,22
10500,49,22
10501,51,66
10502,51,66
10503,51,66
10504,51,66
10505,51,66
10506,51,66
10507,51,66
10508,51,66
10509,51,66
10510,51,66
10511,51,66
10512,51,66
10513,51,66
10514,51,66
10515,51,66
10516,51,66
10517,51,66
10518,51,66
10519,51,66
10520,51,66
10521,53,20
10522,53,20
10523,53,20
10524,53,20
10525,53,20
10526,53,20
10527,53,20
10528,53,20
10529,53,20
10530,53,20
10531,53,20
10532,53,20
10533,53,20
10534,53,20
10535,53,20
10536,53,20
10537,53,20
10538,53,20
10539,53,20
10540,53,20
10541,55,14
10542,55,14
10543,55,14
10544,55,14
10545,55,14
10546,55,14
10547,55,14
10548,55,14
10549,55,14
10550,55,14
10551,55,14
10552,55,14
10553,55,14
10554,55,14
10555,55,14
10556,55,14
10557,55,14
10558,55,14
10559,55,14
10560,55,14
10561,57,36
10562,57,36
10563,57,36
10564,57,36
10565,57,36
10566,57,36
10567,57,36
10568,57,36
10569,57,36
10570,57,36
10571,57,36
10572,57,36
10573,57,36
10574,57,36
10575,57,36
10576,57,36
10577,57,36
10578,57,36
10579,57,36
10580,57,36
10581,59,46
10582,59,46
10583,59,46
10584,59,46
10585,59,46
10586,59,46
10587,59,46
10588,59,46
10589,59,46
10590,59,46
10591,59,46
10592,59,46
10593,59,46
10594,59,46
10595,59,46
10596,59,46
10597,59,46
10598,59,46
10599,59,46
10600,59,46
10601,61,68
10602,61,68
10603,61,68
10604,61,68
10605,61,68
10606,61,68
10607,61,68
10608,61,68
10609,61,68
10610,61,68
10611,61,68
10612,61,68
10613,61,68
10614,61,68
10615,61,68
10616,61,68
10617,61,68
10618,61,68
10619,61,68
10620,61,68
10621,63,12
10622,63,12
10623,63,12
10624,63,12
10625,63,12
10626,63,12
