Animal,Sex,Phe
80001,1,9.750822067261
80002,2,5.486477851868
80003,1,7.22000837326
80004,2,7.20512008667
80005,1,7.912269592285
80006,2,5.77165555954
80007,1,9.944196224213
80008,2,6.120407581329
80009,1,9.147550582886
80010,2,5.836996793747
80011,1,10.62214756012
80012,2,6.779530525208
80013,1,8.392190217972
80014,2,8.225741386414
80015,1,9.338013648987
80016,2,6.584896564484
80017,1,8.718120098114
80018,2,5.364268541336
80019,1,6.564792633057
80020,2,5.323278665543
80021,1,10.315836906433
80022,2,6.760947227478
80023,1,10.105650901794
80024,2,4.290780544281
80025,1,8.418494701385
80026,2,5.469703435898
80027,1,8.55487203598
80028,2,3.658035993576
80029,1,10.347400665283
80030,2,6.330676317215
80031,1,8.389277935028
80032,2,6.554780960083
80033,1,9.757363319397
80034,2,7.5532746315
80035,1,7.774845123291
80036,2,6.74282169342
80037,1,8.332047462463
80038,2,5.088408708572
80039,1,7.242402076721
80040,2,4.418803930283
80041,1,11.094118118286
80042,2,5.982045888901
80043,1,8.534403324127
80044,2,5.617983341217
80045,1,8.894689798355
80046,2,7.136183261871
80047,1,6.861086010933
80048,2,4.806173324585
80049,1,7.518562078476
80050,2,7.671781539917
80051,1,6.875691890717
80052,2,5.262113332748
80053,1,8.304175615311
80054,2,4.722365856171
80055,1,11.426965713501
80056,2,5.978452205658
80057,1,8.125690221786
80058,2,8.505949497223
80059,1,8.488049983978
80060,2,4.688018798828
80061,1,8.575400352478
80062,2,4.908881902695
80063,1,10.022470474243
80064,2,4.440789341927
80065,1,6.130162596703
80066,2,6.474003314972
80067,1,8.419122695923
80068,2,5.422720909119
80069,1,9.301208496094
80070,2,4.011382222176
80071,1,7.687210798264
80072,2,7.615372180939
80073,1,7.229145765305
80074,2,6.444280147552
80075,1,7.840116500854
80076,2,4.717455387115
80077,1,8.718253135681
80078,2,6.089678525925
80079,1,8.082975387573
80080,2,5.332468748093
80081,1,8.166617393494
80082,2,7.957346916199
80083,1,7.998938083649
80084,2,6.81552028656
80085,1,8.510279893875
80086,2,8.035674095154
80087,1,8.697630167007
80088,2,4.279897451401
80089,1,9.981722354889
80090,2,7.307524681091
80091,1,6.452400445938
80092,2,4.083026409149
80093,1,8.402965784073
80094,2,7.472557067871
80095,1,9.680495738983
80096,2,6.291311264038
80097,1,6.152994990349
80098,2,5.488473892212
80099,1,9.936282157898
80100,2,5.155798912048
80101,1,6.446902513504
80102,2,6.189945936203
80103,1,9.430561065674
80104,2,5.940104484558
80105,1,6.368439793587
80106,2,5.274273633957
80107,1,7.410619258881
80108,2,5.668860673904
80109,1,6.737603545189
80110,2,5.788925170898
80111,1,6.232751846313
80112,2,5.559189558029
80113,1,7.706261634827
80114,2,5.625588417053
80115,1,8.877074718475
80116,2,4.156912446022
80117,1,7.318635463715
80118,2,3.264276623726
80119,1,7.534801721573
80120,2,5.961699724197
80121,1,8.328847169876
80122,2,4.872172355652
80123,1,9.44701385498
80124,2,5.893503665924
80125,1,8.230563163757
80126,2,6.185355424881
80127,1,9.328838348389
80128,2,7.221541881561
80129,1,8.040672063828
80130,2,6.45245552063
80131,1,8.01541018486
80132,2,6.206245183945
80133,1,8.773391723633
80134,2,3.11305308342
80135,1,11.971716880798
80136,2,4.054847955704
80137,1,9.572254180908
80138,2,6.045007944107
80139,1,6.96783554554
80140,2,3.531788706779
80141,1,7.775311231613
80142,2,6.372962474823
80143,1,8.198074817657
80144,2,3.345964670181
80145,1,9.773818016052
80146,2,4.919816970825
80147,1,8.847113370895
80148,2,6.826221466064
80149,1,10.916797637939
80150,2,4.097881436348
80151,1,8.570601940155
80152,2,6.440000534058
80153,1,8.965849399567
80154,2,4.952198028564
80155,1,9.283925533295
80156,2,7.393332958221
80157,1,8.239919424057
80158,2,5.483926057816
80159,1,9.634520053864
80160,2,5.496236801147
80161,1,6.733172893524
80162,2,5.140690326691
80163,1,7.48606300354
80164,2,6.235106468201
80165,1,8.051442861557
80166,2,6.543606281281
80167,1,9.5569190979
80168,2,4.973274707794
80169,1,8.576279401779
80170,2,7.702926158905
80171,1,6.826881289482
80172,2,4.863713026047
80173,1,6.533981323242
80174,2,5.783540248871
80175,1,9.639061450958
80176,2,6.311695098877
80177,1,7.343881130219
80178,2,5.244682073593
80179,1,9.205137252808
80180,2,7.629953861237
80181,1,9.687017917633
80182,2,6.625462532043
80183,1,8.596145391464
80184,2,6.692005634308
80185,1,9.011361122131
80186,2,7.4309425354
80187,1,7.685327529907
80188,2,4.77441740036
80189,1,8.440938711166
80190,2,5.23695230484
80191,1,9.341226100922
80192,2,4.576576709747
80193,1,9.523313045502
80194,2,5.163284778595
80195,1,7.928572416306
80196,2,5.865492343903
80197,1,9.621477127075
80198,2,5.803245544434
80199,1,10.857328414917
80200,2,5.702728033066
80201,1,6.337813138962
80202,2,4.641073942184
80203,1,9.933285713196
80204,2,5.610100984573
80205,1,8.202896356583
80206,2,6.813344955444
80207,1,8.655612945557
80208,2,7.828834533691
80209,1,8.153282880783
80210,2,5.252112627029
80211,1,5.915981173515
80212,2,3.698688626289
80213,1,9.640991687775
80214,2,5.241639375687
80215,1,8.10014629364
80216,2,7.629825592041
80217,1,5.540336847305
80218,2,4.011061906815
80219,1,9.233568191528
80220,2,6.179972648621
80221,1,7.470681190491
80222,2,4.401338815689
80223,1,9.945645332336
80224,2,7.158913612366
80225,1,10.485353946686
80226,2,3.143977642059
80227,1,6.191828966141
80228,2,4.0610435009
80229,1,8.98952293396
80230,2,6.737074375153
80231,1,7.498895168304
80232,2,4.469558000565
80233,1,6.179270505905
80234,2,5.840607643127
80235,1,8.427096843719
80236,2,7.967737674713
80237,1,6.303146123886
80238,2,4.917660713196
80239,1,8.880736112595
80240,2,5.674762010574
80241,1,9.92683172226
80242,2,4.165752887726
80243,1,7.973452091217
80244,2,6.067400217056
80245,1,8.996056079865
80246,2,5.800491571426
80247,1,9.708959102631
80248,2,7.889034748077
80249,1,9.815232753754
80250,2,4.822162628174
80251,1,9.137553215027
80252,2,7.002866744995
80253,1,6.813019394875
80254,2,8.682832717896
80255,1,8.989162683487
80256,2,6.138319730759
80257,1,7.956606626511
80258,2,5.802600383759
80259,1,8.65590763092
80260,2,4.117847204208
80261,1,9.880193710327
80262,2,6.046172857285
80263,1,7.925384998322
80264,2,1.911852121353
80265,1,10.770195007324
80266,2,6.096903800964
80267,1,5.486634135246
80268,2,6.444204330444
80269,1,5.280273795128
80270,2,6.632155895233
80271,1,8.22988820076
80272,2,3.30864906311
80273,1,9.044887065887
80274,2,5.946791887283
80275,1,7.573220968246
80276,2,3.895308017731
80277,1,6.135506629944
80278,2,4.103649139404
80279,1,4.953825950623
80280,2,6.240606069565
80281,1,8.172557830811
80282,2,6.837698936462
80283,1,7.291661977768
80284,2,8.028095245361
80285,1,8.205869913101
80286,2,5.035400390625
80287,1,9.862565517426
80288,2,6.675406455994
80289,1,8.872096538544
80290,2,5.924546957016
80291,1,6.626386761665
80292,2,5.237599849701
80293,1,7.798773765564
80294,2,5.23242354393
80295,1,7.354236602783
80296,2,5.466569662094
80297,1,10.066641807556
80298,2,4.933207273483
80299,1,9.751916408539
80300,2,5.655960083008
80301,1,8.529236793518
80302,2,5.675230026245
80303,1,8.642777442932
80304,2,5.667021989822
80305,1,7.114627361298
80306,2,5.024550676346
80307,1,8.614734172821
80308,2,7.153909683228
80309,1,9.433109760284
80310,2,6.265873432159
80311,1,8.676327228546
80312,2,7.689061641693
80313,1,10.19976234436
80314,2,6.539897441864
80315,1,9.451652050018
80316,2,7.030715465546
80317,1,9.450088024139
80318,2,6.310250759125
80319,1,7.920579433441
80320,2,2.683706521988
80321,1,6.853623151779
80322,2,4.259908080101
80323,1,8.847464323044
80324,2,6.309131860733
80325,1,7.913638353348
80326,2,4.536594390869
80327,1,6.469249486923
80328,2,3.542813062668
80329,1,7.642260313034
80330,2,6.503161430359
80331,1,7.977519989014
80332,2,6.367017507553
80333,1,5.94372856617
80334,2,5.406258106232
80335,1,7.536319494247
80336,2,4.586113452911
80337,1,7.97861456871
80338,2,5.005903244019
80339,1,7.659098625183
80340,2,4.965437173843
80341,1,8.058612346649
80342,2,8.087556838989
80343,1,8.602775096893
80344,2,5.886147260666
80345,1,8.129444122314
80346,2,6.516208171844
80347,1,6.713388204575
80348,2,4.888401269913
80349,1,8.319118738174
80350,2,7.140960693359
80351,1,7.540963172913
80352,2,6.010061979294
80353,1,8.225168466568
80354,2,3.423054933548
80355,1,7.452409982681
80356,2,5.95717716217
80357,1,6.629303693771
80358,2,4.608896970749
80359,1,7.132902145386
80360,2,2.070042133331
80361,1,8.819443941116
80362,2,6.706302165985
80363,1,7.958179473877
80364,2,5.416307687759
80365,1,7.7882771492
80366,2,3.003485679626
80367,1,7.223041534424
80368,2,8.000902175903
80369,1,10.150938034058
80370,2,6.636177062988
80371,1,10.683692932129
80372,2,6.984817504883
80373,1,7.981547355652
80374,2,5.607397079468
80375,1,9.833757400513
80376,2,3.212458133698
80377,1,7.560488939285
80378,2,6.332033395767
80379,1,7.884675502777
80380,2,6.891631126404
80381,1,7.885877609253
80382,2,5.086174488068
80383,1,8.808671951294
80384,2,5.238445281982
80385,1,7.506193161011
80386,2,5.477852344513
80387,1,8.684693574905
80388,2,6.465351104736
80389,1,8.05554151535
80390,2,5.774710178375
80391,1,6.747148156166
80392,2,7.03185749054
80393,1,7.288325309753
80394,2,3.324796915054
80395,1,7.230488061905
80396,2,5.608393669128
80397,1,8.870955705643
80398,2,7.529810905457
80399,1,7.342493772507
80400,2,5.350917339325
80401,1,8.779368877411
80402,2,6.653201580048
80403,1,8.270625352859
80404,2,3.712141275406
80405,1,8.523758172989
80406,2,4.760440349579
80407,1,5.80185854435
80408,2,6.5341796875
80409,1,7.966380834579
80410,2,7.825033187866
80411,1,6.620280146599
80412,2,3.104661405087
80413,1,8.854062318802
80414,2,6.003955841064
80415,1,7.121724128723
80416,2,7.252923965454
80417,1,6.05278801918
80418,2,3.209088087082
80419,1,8.886915206909
80420,2,7.044679641724
80421,1,5.568507671356
80422,2,6.160151720047
80423,1,8.569670200348
80424,2,5.918478012085
80425,1,9.416356086731
80426,2,8.201372623444
80427,1,8.660803556442
80428,2,5.040374994278
80429,1,7.694427013397
80430,2,5.000823736191
80431,1,7.351784467697
80432,2,5.782027006149
80433,1,7.455478191376
80434,2,4.765876054764
80435,1,7.509689331055
80436,2,6.344464063644
80437,1,8.329471111298
80438,2,5.994988203049
80439,1,10.37625837326
80440,2,6.975082397461
80441,1,8.622272253036
80442,2,6.0756483078
80443,1,8.491688013077
80444,2,4.573537826538
80445,1,7.8821144104
80446,2,4.436367988586
80447,1,7.350546836853
80448,2,4.458906292915
80449,1,6.471031785011
80450,2,4.90966629982
80451,1,7.868757486343
80452,2,4.016035795212
80453,1,8.981938362122
80454,2,5.290835618973
80455,1,8.849933624268
80456,2,4.708555698395
80457,1,7.595139503479
80458,2,5.649616479874
80459,1,7.160679578781
80460,2,6.404718399048
80461,1,6.966735959053
80462,2,6.197645187378
80463,1,5.846063613892
80464,2,7.791693687439
80465,1,8.861662864685
80466,2,6.03006696701
80467,1,7.355710744858
80468,2,6.730752944946
80469,1,6.898500561714
80470,2,5.870928525925
80471,1,8.678577899933
