animal sire dam gen f sex feed tbv y
1 0 0 0 0 1 0 35.1166190832311 0
2 0 0 0 0 1 0 -1.81653158258104 0
3 0 0 0 0 1 0 8.73967249057148 0
4 0 0 0 0 1 0 7.15489357842678 0
5 0 0 0 0 1 0 12.5200646913737 0
6 0 0 0 0 1 0 14.8897606745446 0
7 0 0 0 0 1 0 29.5889448706436 0
8 0 0 0 0 1 0 0.801288501701997 0
9 0 0 0 0 1 0 9.90920008652678 0
10 0 0 0 0 1 0 8.75804517201575 0
11 0 0 0 0 1 0 17.1382599054681 0
12 0 0 0 0 1 0 -3.87180770172869 0
13 0 0 0 0 1 0 2.41326612709578 0
14 0 0 0 0 1 0 -7.72925364216518 0
15 0 0 0 0 1 0 -16.9763831290188 0
16 0 0 0 0 1 0 1.05033853792082 0
17 0 0 0 0 1 0 -12.2976122595785 0
18 0 0 0 0 1 0 -14.3507563416885 0
19 0 0 0 0 1 0 -0.990165805111635 0
20 0 0 0 0 1 0 -10.4139935430464 0
21 0 0 0 0 2 0 -2.26814332477821 0
22 0 0 0 0 2 0 5.67588963846292 0
23 0 0 0 0 2 0 17.852237875322 0
24 0 0 0 0 2 0 11.8431367994382 0
25 0 0 0 0 2 0 3.81107580838642 0
26 0 0 0 0 2 0 -14.6988013053397 0
27 0 0 0 0 2 0 -4.5462763812351 0
28 0 0 0 0 2 0 11.032158584521 0
29 0 0 0 0 2 0 1.27721109608311 0
30 0 0 0 0 2 0 -0.548897886118318 0
31 0 0 0 0 2 0 -24.6250272534782 0
32 0 0 0 0 2 0 19.5879921263236 0
33 0 0 0 0 2 0 -23.1015070565129 0
34 0 0 0 0 2 0 -13.5593257025471 0
35 0 0 0 0 2 0 15.9866858853354 0
36 0 0 0 0 2 0 13.3032017754217 0
37 0 0 0 0 2 0 14.3943047029609 0
38 0 0 0 0 2 0 9.28040813444023 0
39 0 0 0 0 2 0 -1.95711187482816 0
40 0 0 0 0 2 0 -0.89308885742024 0
41 0 0 0 0 2 0 -17.2220030364993 0
42 0 0 0 0 2 0 -23.5156759440688 0
43 0 0 0 0 2 0 -0.474752135618227 0
44 0 0 0 0 2 0 -2.46873430014617 0
45 0 0 0 0 2 0 18.0089329634813 0
46 0 0 0 0 2 0 8.95005538823728 0
47 0 0 0 0 2 0 -11.3166238114629 0
48 0 0 0 0 2 0 19.5694935834369 0
49 0 0 0 0 2 0 -27.5394339500833 0
50 0 0 0 0 2 0 -8.89598800946828 0
51 0 0 0 0 2 0 38.8305591423135 0
52 0 0 0 0 2 0 1.45791402360332 0
53 0 0 0 0 2 0 3.36757214600482 0
54 0 0 0 0 2 0 -14.5636779912405 0
55 0 0 0 0 2 0 15.8202892085879 0
56 0 0 0 0 2 0 1.42349044107328 0
57 0 0 0 0 2 0 -0.518223001859583 0
58 0 0 0 0 2 0 20.8742511918896 0
59 0 0 0 0 2 0 5.07590076019999 0
60 0 0 0 0 2 0 6.81783047506103 0
61 0 0 0 0 2 0 0.282108037008989 0
62 0 0 0 0 2 0 3.6552209889898 0
63 0 0 0 0 2 0 13.5178850148646 0
64 0 0 0 0 2 0 -13.4860848382699 0
65 0 0 0 0 2 0 -2.16994298010222 0
66 0 0 0 0 2 0 -10.4131430211807 0
67 0 0 0 0 2 0 -3.76568869312182 0
68 0 0 0 0 2 0 -23.7326752779856 0
69 0 0 0 0 2 0 26.0295216159366 0
70 0 0 0 0 2 0 14.205781586899 0
71 0 0 0 0 2 0 -31.2153298652883 0
72 0 0 0 0 2 0 5.85864968050811 0
73 0 0 0 0 2 0 1.23935112573618 0
74 0 0 0 0 2 0 -19.2899651070423 0
75 0 0 0 0 2 0 -28.364878530383 0
76 0 0 0 0 2 0 -0.975810195696658 0
77 0 0 0 0 2 0 -2.00742668132542 0
78 0 0 0 0 2 0 -6.75191176072205 0
79 0 0 0 0 2 0 -16.6749809487813 0
